Cod_setor;Situacao_setor;ATEMEIOSALARIO;DEMEIOA1SALARIO;DE1A2SALARIOS;DE2A3SALARIOS;DE3A5SALARIOS;DE5A10SALARIOS;DE10A15SALARIOS;DE15A20SALARIOS;MAISDE20SALARIOS;SEMSALARIO;TOTAL
310620005620259;1;0;6;28;19;57;123;46;83;27;83;511
310620005620261;1;2;62;79;61;111;186;95;74;85;239;1066
310620005620262;1;1;30;46;39;77;178;45;49;51;139;704
310620005620263;1;0;30;43;55;110;157;46;33;20;103;630
310620005620264;1;1;22;74;46;118;179;80;53;62;176;859
310620005620265;1;0;17;21;22;41;50;16;18;9;46;254
310620005620266;1;3;18;45;38;66;118;40;30;25;95;496
310620005620267;1;0;37;46;38;91;149;48;60;64;183;770
310620005620268;1;3;25;56;49;72;142;46;31;34;119;607
310620005620269;1;3;29;70;37;76;140;35;38;42;125;626
310620005620270;1;3;29;88;38;97;135;51;66;89;136;777
310620005620271;1;4;13;57;17;40;100;50;87;103;151;668
310620005620272;1;1;19;71;46;95;142;62;85;186;213;993
310620005620273;1;0;13;49;29;42;89;37;84;125;175;692
310620005620274;1;3;21;63;49;72;141;52;81;126;179;841
310620005620275;1;0;24;32;14;24;60;20;32;57;126;415
310620005620276;1;2;8;13;14;27;60;26;25;37;68;294
310620005620277;1;0;29;34;30;45;65;16;28;14;53;331
310620005620278;1;1;28;81;51;73;61;8;8;6;41;368
310620005620279;1;2;40;63;49;74;68;8;9;6;74;407
310620005620280;1;1;25;59;35;48;36;5;5;1;30;256
310620005620281;1;0;26;66;50;39;35;2;4;1;24;257
310620005620282;1;2;15;59;43;45;50;7;7;6;43;287
310620005620283;1;0;39;81;43;59;79;13;11;2;106;454
310620005620284;1;2;49;106;84;75;58;8;3;2;63;457
310620005620285;1;1;35;87;50;76;92;15;14;5;109;499
310620005620286;1;0;66;92;60;85;78;13;10;11;112;556
310620005620287;1;3;22;45;25;73;133;58;83;77;163;760
310620005620288;1;44;268;134;10;10;2;1;0;1;270;935
310620005620289;1;3;157;86;4;5;1;2;1;1;143;495
310620005620290;1;31;297;141;21;7;10;2;1;3;322;1061
310620005620291;1;12;92;54;2;3;2;2;0;0;78;319
310620005620292;1;18;164;126;19;14;17;6;8;6;201;702
310620005620293;1;7;207;59;2;0;2;0;1;1;148;531
310620005620294;1;23;255;151;18;17;2;5;4;0;248;896
310620005620295;1;4;240;85;9;3;1;0;0;0;182;666
310620005620296;1;1;116;72;9;3;0;2;0;1;99;363
310620005620297;1;43;316;207;15;14;20;10;12;10;302;1127
310620005620298;1;18;263;145;20;14;4;5;9;8;220;845
310620005620299;1;35;454;249;26;15;10;1;1;1;348;1337
310620005620300;1;29;307;190;23;12;5;0;1;0;257;980
310620005620301;1;13;275;236;30;17;19;7;8;9;240;1029
310620005620302;1;10;234;115;19;15;7;3;8;3;283;825
310620005620303;1;18;181;146;23;25;32;5;14;6;239;801
310620005620304;1;39;250;199;34;11;8;2;5;3;257;986
310620005620305;1;5;36;45;7;3;3;0;0;0;47;183
310620005620306;1;26;334;219;38;21;11;1;0;1;296;1138
310620005620307;1;2;16;33;18;37;69;18;20;26;82;353
310620005620308;1;0;9;42;35;50;109;52;50;33;125;542
310620005620309;1;3;18;66;52;105;181;61;49;34;161;788
310620005620310;1;0;8;32;17;47;100;41;18;22;83;405
310620005620311;1;2;22;52;50;95;197;72;58;61;214;886
310620005620312;1;0;17;25;26;64;136;53;48;39;122;583
310620005620313;1;0;40;58;49;80;176;68;69;71;203;866
310620005620314;1;0;20;83;61;113;187;57;82;30;219;890
310620005620315;1;2;26;28;31;49;99;42;44;46;82;470
310620005620316;1;2;48;87;55;104;170;65;68;52;192;883
310620005620317;1;0;21;28;41;80;144;52;40;37;92;565
310620005620318;1;4;28;45;49;62;122;33;25;21;109;516
310620005620319;1;1;25;57;47;72;78;33;32;17;84;465
310620005620320;1;1;18;40;24;50;97;35;36;50;106;482
310620005620321;1;1;27;53;37;51;106;41;36;65;152;613
310620005620322;1;1;6;25;17;35;47;32;24;27;60;289
310620005620323;1;0;26;51;34;79;134;38;44;57;193;706
310620005620324;1;6;19;47;29;62;90;41;32;48;123;537
310620005620325;1;1;23;49;39;73;76;18;8;9;73;377
310620005620326;1;3;34;63;39;43;46;14;8;1;45;304
310620005620327;1;0;48;76;57;66;59;10;11;2;46;395
310620005620328;1;1;28;37;24;15;45;15;9;12;93;301
310620005620329;1;3;70;138;91;91;57;5;8;5;72;560
310620005620330;1;1;59;142;75;63;40;5;6;3;142;580
310620005620331;1;0;0;0;0;1;0;0;0;0;0;1
310620005620332;1;5;40;90;51;112;156;53;75;76;243;988
310620005620333;1;3;28;42;32;80;141;60;46;64;205;751
310620005620334;1;0;9;49;33;70;131;37;32;24;96;506
310620005620335;1;4;19;46;54;93;177;64;57;77;196;836
310620005620336;1;0;6;18;10;28;39;21;36;55;73;306
310620005620337;1;2;43;86;68;88;168;42;61;69;196;889
310620005620338;1;0;14;45;25;48;91;40;67;117;216;743
310620005620339;1;0;27;29;18;32;62;25;23;31;72;336
310620005620340;1;1;20;37;36;70;156;68;76;92;269;876
310620005620341;1;0;35;53;41;68;81;35;39;24;141;555
310620005620342;1;2;7;41;35;51;115;43;49;60;140;585
310620005620343;1;0;15;27;28;55;90;34;54;46;93;490
310620005620344;1;1;12;22;16;28;49;18;7;4;63;233
310620005620345;1;1;11;32;14;46;99;40;42;44;126;497
310620005620346;1;0;32;49;37;77;98;22;24;17;152;525
310620005620347;1;0;26;71;55;57;112;30;20;26;119;540
310620005620348;1;0;35;47;50;63;110;38;17;28;86;492
310620005620349;1;11;17;56;37;98;91;23;45;49;96;547
310620005620350;1;0;17;31;22;50;82;32;52;71;143;546
310620005620351;1;1;44;50;27;62;114;28;43;27;126;551
310620005620352;1;1;27;38;33;56;143;40;83;108;226;834
310620005620353;1;2;14;32;10;20;68;34;21;13;116;382
310620005620354;1;0;4;7;1;0;0;0;0;0;17;29
310620005620355;1;1;47;78;49;85;101;31;24;17;169;627
310620005620357;1;0;4;44;45;65;137;47;91;223;290;990
310620005620358;1;3;11;35;14;22;76;27;43;118;148;559
310620005620359;1;0;27;59;29;47;146;42;120;238;331;1160
310620005620360;1;1;7;32;27;43;112;82;83;149;204;844
310620005620361;1;0;13;33;20;43;128;62;94;142;152;795
310620005620362;1;0;26;33;38;74;141;47;56;48;142;646
310620005620363;1;0;24;51;42;51;130;34;57;53;133;609
310620005620364;1;1;19;62;13;34;79;24;54;63;190;577
310620005620365;1;1;41;100;47;78;164;63;120;139;281;1087
310620005620366;1;0;0;0;0;0;0;0;0;0;0;1
310620005620367;1;1;20;52;33;73;132;70;55;56;191;768
310620005620368;1;3;23;47;43;62;133;52;62;35;167;688
310620005620369;1;3;27;49;40;87;165;72;104;158;221;1071
310620005620370;1;2;27;55;54;87;208;81;85;120;284;1126
310620005620371;1;0;13;42;32;59;123;48;48;41;150;594
310620005620372;1;0;10;29;6;33;78;21;39;41;92;365
310620005620373;1;2;13;30;14;34;89;24;17;12;95;362
310620005620374;1;0;18;47;40;71;99;42;42;46;150;585
310620005620375;1;1;27;70;51;83;178;62;60;32;153;772
310620005620376;1;0;16;41;44;66;135;43;53;76;197;719
310620005620377;1;26;324;268;54;19;3;1;0;0;225;1111
310620005620378;1;0;14;31;16;36;45;13;29;31;54;296
310620005620379;1;1;11;33;18;40;69;37;17;42;72;358
310620005620380;1;2;8;22;26;41;63;27;32;33;74;342
310620005620381;1;0;17;48;28;63;99;24;85;96;152;658
310620005620382;1;0;4;40;21;42;125;64;54;61;124;573
310620005620383;1;0;35;52;39;50;68;21;11;7;83;388
310620005620384;1;0;10;33;39;47;88;45;36;75;125;523
310620005620385;1;0;27;28;14;26;81;29;34;34;76;367
310620005620386;1;0;45;34;32;52;75;26;34;34;83;433
310620005620387;1;0;43;57;27;56;70;20;20;13;104;442
310620005620388;1;4;14;25;18;35;116;31;52;35;92;447
310620005620389;1;0;48;58;23;29;66;45;42;56;154;560
310620005620390;1;2;29;45;17;56;108;43;58;61;123;582
310620005620391;1;0;21;47;31;35;100;30;44;54;148;540
310620005620392;1;0;13;71;36;29;57;15;19;15;76;355
310620005620393;1;1;18;45;25;49;95;31;35;44;100;466
310620005620394;1;0;9;17;15;32;82;20;67;51;68;383
310620005620395;1;0;19;34;24;39;65;16;37;22;92;366
310620005620396;1;0;15;21;16;31;66;19;19;27;65;293
310620005620397;1;2;17;60;58;59;45;8;5;4;59;328
310620005620398;1;1;23;42;32;55;93;21;34;54;172;577
310620005620399;1;0;15;44;17;35;103;35;60;81;162;610
310620005620400;1;1;13;43;31;40;79;31;43;40;81;431
310620005620401;1;1;27;37;41;44;58;25;26;8;53;339
310620005620402;1;1;37;61;35;69;138;44;44;54;174;729
310620005620403;1;0;22;67;29;55;127;50;102;152;217;870
310620005620404;1;0;12;27;23;28;74;34;60;130;148;568
310620005620405;1;1;6;40;19;24;53;32;35;161;124;533
310620005620406;1;0;1;24;28;32;66;25;49;60;143;452
310620005620407;1;0;8;10;9;11;41;5;30;20;50;205
310620005620408;1;2;9;33;25;44;82;25;23;27;50;339
310620005620409;1;2;23;21;15;39;40;16;19;14;61;269
310620005620410;1;0;25;46;24;43;90;39;63;77;129;598
310620005620411;1;1;4;37;27;44;111;62;77;127;122;649
310620005620412;1;1;8;13;11;21;43;11;8;14;25;160
310620005620413;1;0;32;83;60;81;127;36;28;17;164;693
310620005620414;1;0;29;60;36;64;126;47;48;44;213;710
310620005620415;1;0;12;24;15;33;63;20;44;60;108;411
310620005620416;1;1;40;39;32;72;98;41;46;63;225;704
310620005620417;1;0;17;54;27;75;115;43;43;52;148;605
310620005620418;1;1;18;22;23;40;63;17;34;22;142;401
310620005620419;1;0;23;45;28;55;101;38;56;74;169;650
310620005620420;1;0;18;39;24;46;101;38;40;45;108;496
310620005620421;1;0;9;40;28;35;91;18;61;132;176;632
310620005620422;1;2;17;22;9;24;52;14;38;69;607;996
310620005620423;1;0;3;25;9;16;44;29;44;86;135;453
310620005620424;1;2;14;50;25;38;120;38;73;192;252;928
310620005620425;1;0;12;47;25;45;53;21;11;16;31;270
310620005620426;1;0;22;21;33;41;66;21;38;42;83;401
310620005620427;1;0;11;11;23;46;70;14;25;18;116;360
310620005620428;1;1;10;7;8;9;21;3;7;9;27;104
310620005620429;1;4;38;64;56;96;195;51;70;96;202;924
310620005620430;1;0;15;41;30;38;55;27;14;16;80;329
310620005620431;1;0;19;29;40;80;151;59;44;50;131;636
310620005620432;1;0;6;12;14;12;28;6;16;19;82;206
310620005620433;1;2;16;34;26;36;108;25;44;33;118;469
310620005620434;1;0;6;16;10;15;27;7;13;19;43;172
310620005620435;1;0;19;39;17;39;71;22;35;42;111;416
310620005620436;1;0;22;33;30;47;92;27;67;87;192;648
310620005620437;1;0;23;46;30;67;83;29;36;32;114;480
310620005620438;1;0;0;4;3;6;6;2;1;0;15;39
310620005620439;1;0;8;9;1;12;11;10;5;4;15;81
310620005620440;1;0;6;6;4;8;23;11;7;30;32;143
310620005620441;1;0;2;8;1;9;19;5;12;6;28;95
310620005620442;1;0;11;39;16;20;75;26;57;75;122;504
310620005620443;1;0;9;26;13;24;55;41;49;51;113;426
310620005620445;1;0;13;24;14;24;30;7;8;4;27;157
310620005620446;1;0;11;30;23;39;60;17;10;16;76;301
310620005620447;1;1;7;11;7;17;29;13;10;7;50;160
310620005620448;1;0;17;22;27;41;66;12;18;18;77;318
310620005620449;1;0;10;45;21;57;93;26;45;62;102;509
310620005620450;1;0;12;30;15;19;26;10;8;7;24;160
310620005620451;1;0;4;15;7;14;20;5;17;22;41;156
310620005620452;1;0;0;1;2;7;21;9;6;3;1;51
310620005620453;1;1;14;32;21;45;86;25;36;24;93;394
310620005620454;1;0;1;12;8;16;29;12;2;11;44;148
310620005620455;1;0;16;27;13;20;43;11;34;45;82;303
310620005620457;1;2;2;12;9;10;24;6;11;19;35;141
310620005620458;1;13;145;69;9;3;3;1;1;1;150;486
310620005620459;1;1;24;29;23;21;21;3;2;2;19;151
310620005620460;1;0;3;12;4;2;18;6;7;14;31;111
